brand,model,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,car_age
Volvo,XC90 T6 Momentum,81200.0,Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,28825,8
Lamborghini,Huracan EVO Base,6246.0,Gasoline,5.2L V10 40V GDI DOHC,7-Speed Automatic with Auto-Shift,Nero Noctis,Nero Ade,None reported,Yes,267950,6
Jeep,Wrangler Unlimited Rubicon,20172.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,47500,9
Hummer,H2 Base,145000.0,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Green,Black,None reported,Yes,22500,21
Ford,Flex Limited,162000.0,Gasoline,262.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,7500,17
Porsche,718 Cayman GT4,13554.0,Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,124995,6
Toyota,Camry XLE,59700.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Green,Gray,None reported,Yes,9500,19
Mercedes-Benz,A-Class A 220 4MATIC,30930.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,Midnight Black,Black,None reported,Unknown,28900,6
BMW,335 i,51983.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,White,None reported,Yes,19999,17
Chevrolet,Camaro 2SS,22000.0,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,50000,4
Volkswagen,ID.4 Pro S,16800.0,Unknown,295.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,Black,None reported,Yes,45000,3
Chevrolet,Silverado 2500 High Country,16000.0,Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,73995,4
Nissan,Altima 2.5 SV,22295.0,Gasoline,2.5L I4 16V GDI DOHC,Automatic CVT,Scarlet Ember,Gray,None reported,Unknown,23599,6
Bentley,Continental GT V8,33000.0,Gasoline,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,None reported,Yes,188500,6
Toyota,Sequoia Platinum,1025.0,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Black,Black,None reported,Yes,85000,3
Acura,TL Technology,89190.0,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,White,At least 1 accident or damage reported,Yes,15499,13
Toyota,Highlander Limited,53550.0,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Blue,Gray,None reported,Yes,39687,6
Ford,Edge SEL,56946.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Silver,Ebony,None reported,Yes,26299,5
Jaguar,F-TYPE R,11684.0,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,54900,10
GMC,Yukon XL Denali,45617.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,51000,8
Chevrolet,Suburban LT,75466.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,Yes,34500,8
Maserati,Levante GTS,19513.0,Gasoline,3.8L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Red / Black,At least 1 accident or damage reported,Yes,84645,5
Subaru,Outback Limited,15636.0,Gasoline,2.5L H4 16V GDI DOHC,Automatic CVT,Crystal Black Silica,Black,None reported,Unknown,33531,5
Mercedes-Benz,S-Class S 450,69600.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,40888,8
Mercedes-Benz,GL-Class GL 450,138050.0,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,16500,15
Ford,F-250 Lariat,132269.0,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,Black,None reported,Yes,35900,9
Hyundai,Palisade Limited,45815.0,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,37700,6
Ford,F-150 XLT,25352.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Black,None reported,Yes,48459,5
Mercedes-Benz,R-Class R 350 4MATIC,120000.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,8995,18
Chevrolet,Camaro 2SS,75151.0,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,45000,8
Jeep,Wrangler Sport,74139.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,23000,10
Chevrolet,1500 Cheyenne,170443.0,–,–,A/T,Red,–,At least 1 accident or damage reported,Yes,6000,32
Jaguar,XJ6 Vanden Plas,70000.0,–,–,A/T,Gold,–,None reported,Yes,19000,31
BMW,550 i xDrive,68500.0,Gasoline,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,17800,14
Lexus,GX 460 Luxury,37366.0,Gasoline,4.6L V8 32V MPFI DOHC,6-Speed Automatic,White,–,Unknown,Unknown,51890,6
Tesla,Model S Long Range,35315.0,Unknown,670.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Black,None reported,Yes,66900,5
Volkswagen,Jetta 1.4T SE,61000.0,Gasoline,150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,15995,9
Jeep,Grand Cherokee Limited,12050.0,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Bright White Clearcoat,Global Black,None reported,Unknown,41599,4
Jaguar,XK8 Base,150000.0,Gasoline,290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Green,White,At least 1 accident or damage reported,Yes,9875,25
Porsche,Macan S,46200.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,At least 1 accident or damage reported,Yes,41500,10
Mercedes-Benz,E-Class E 350,88000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,15500,12
Mercedes-Benz,GL-Class GL 450 4MATIC,47000.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,30089,11
Land,Rover Range Rover 3.0L Supercharged HSE,50340.0,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,47000,9
Mercedes-Benz,E-Class E 350 4MATIC,67800.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,13999,16
Dodge,Dakota Sport,150000.0,Gasoline,175.0HP 3.9L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Gray,At least 1 accident or damage reported,Yes,5500,24
Chevrolet,Camaro ZL1,13500.0,Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,54000,8
Hummer,H3 Base,101750.0,Gasoline,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,12900,19
Honda,Odyssey EX-L,18385.0,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Beige,None reported,Yes,37950,4
Nissan,350Z Touring,123500.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Beige,At least 1 accident or damage reported,Yes,13500,18
GMC,Savana 2500 Work Van,117000.0,E85 Flex Fuel,342.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Silver,Silver,None reported,Yes,38000,9
Mercedes-Benz,E-Class E 350 4MATIC,86121.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,13600,16
Lexus,GX 460 Premium,22466.0,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,45900,6
Nissan,Titan XD SV,80000.0,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,23800,9
Chrysler,300 Touring,23152.0,Gasoline,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,28250,6
Dodge,Charger R/T,91300.0,Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Yellow,–,None reported,Yes,9200,20
Nissan,Pathfinder SL,45000.0,Gasoline,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,None reported,Yes,28999,6
Rivian,R1S Launch Edition,1885.0,Unknown,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Green,White,None reported,Yes,93500,3
Ford,Explorer Platinum,73049.0,Gasoline,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,Gray,Ebony Black,At least 1 accident or damage reported,Yes,30510,8
Nissan,Titan SV,7250.0,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,38000,5
Jaguar,E-PACE S,44000.0,Gasoline,246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,29000,7
Ford,F-150 FX4,85500.0,Gasoline,411.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,26900,12
GMC,Acadia Denali,18083.0,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Ebony Twilight Metallic,Jet Black,None reported,Yes,43999,5
Lamborghini,Murcielago Base,22703.0,Gasoline,571.0HP 6.2L 12 Cylinder Engine Gasoline Fuel,M/T,Black,Black,None reported,Yes,220000,21
Chevrolet,Camaro 1LT,111000.0,Gasoline,312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,10900,15
GMC,Acadia SLT-2,115000.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Brown,None reported,Yes,14000,13
Chevrolet,Malibu Premier,33400.0,Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,28000,5
Toyota,Sequoia SR5,136000.0,Gasoline,273.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,12500,19
Lexus,IS 350 F Sport,26800.0,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,Yes,44000,5
Tesla,Model Y Performance,30000.0,Unknown,455.0HP Electric Motor Electric Fuel System,A/T,White,White,None reported,Yes,51999,4
Dodge,Challenger SRT8,251634.0,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,10500,18
Chrysler,300 Touring,119000.0,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,3500,21
Cadillac,Escalade Sport Platinum,28121.0,Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,Black Raven,Jet Black,None reported,Unknown,89000,5
Chrysler,Town & Country Touring,111000.0,Gasoline,197.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,7900,17
Mazda,CX-5 Touring,116500.0,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Blue Reflex Mica,Black,None reported,Yes,14311,10
Acura,TL 3.2,199296.0,Gasoline,270.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,4900,21
Chevrolet,Corvette Z06 w/2LZ,202.0,Gasoline,670.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,179000,3
Tesla,Model Y Performance,11200.0,Unknown,455.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Black,None reported,Yes,47500,5
Volvo,XC40 T5 Momentum,56536.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,White,Charcoal,None reported,Unknown,26599,6
Chevrolet,Camaro 2SS,49600.0,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,32500,10
Acura,TLX Type S PMC Edition,13600.0,Gasoline,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,White,None reported,Yes,65000,3
Volkswagen,Eos 2.0T,59700.0,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,White,None reported,Yes,10000,19
Dodge,Charger R/T Scat Pack,19000.0,Gasoline,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Purple,Gray,None reported,Yes,44888,8
Chevrolet,Corvette Z06,17300.0,Gasoline,405.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,33999,24
Mercedes-Benz,CLA-Class CLA 250,91140.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,13500,12
BMW,M5 Base,33000.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,65000,11
Jeep,Wrangler Unlimited Sport,52775.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,39799,7
Mitsubishi,Lancer Sportback ES,113000.0,Gasoline,148.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,White,Black,None reported,Yes,5800,15
Porsche,Macan Base,13000.0,Gasoline,261.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,60000,4
Mercedes-Benz,CLK-Class CLK 350,77925.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,16500,17
Dodge,Challenger SRT8,106500.0,–,–,5-Speed A/T,White,White,At least 1 accident or damage reported,Yes,22500,15
Mazda,Mazda3 Grand Touring,15175.0,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Snowflake White Pearl Metallic,Parchment,At least 1 accident or damage reported,Unknown,19212,8
Audi,A3 2.0T Premium,137000.0,Gasoline,186.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Gray,None reported,Yes,10995,9
BMW,528 i,111000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,–,At least 1 accident or damage reported,Yes,15000,11
Land,Rover Range Rover 3.0L V6 Supercharged HSE,49208.0,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,62425,7
Audi,S5 3.0T Prestige,44000.0,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,39000,8
Porsche,718 Boxster Base,26000.0,Gasoline,300.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,45500,9
Chevrolet,Corvette Stingray w/2LT,1800.0,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,76000,6
Lamborghini,Urus Pearl Capsule,3771.0,Gasoline,"4L V-8 gasoline direct injection, DOHC, variable valve control,",Automatic,Grigio Nimbus,Bianco Polar,None reported,Unknown,259991,5
Maserati,Quattroporte S,50000.0,Gasoline,425.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,26497,14
Subaru,Impreza 2.0i,93000.0,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Silver,Black,At least 1 accident or damage reported,Yes,16000,8
Mercedes-Benz,AMG GT C,15000.0,Gasoline,550.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,129000,6
Mazda,Mazda6 i Touring,119500.0,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,15000,10
Porsche,Macan S,50000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Red,None reported,Yes,36000,10
Porsche,Panamera 4,85000.0,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,Unknown,Unknown,21500,15
Genesis,G70 3.3T Advanced,48000.0,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,29999,7
Jeep,Wrangler Sport,11756.0,Gasoline,"2L I-4 gasoline direct injection, DOHC, intercooled turbo, engin",Automatic,Granite Crystal Metallic Clearcoat,Black,At least 1 accident or damage reported,Unknown,33400,5
Audi,Q5 2.0T Premium Plus,50400.0,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,28500,8
BMW,335 i xDrive,153600.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,17500,14
Land,Rover Range Rover P530 SE,1869.0,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,Automatic,Eiger Grey,Deep Garnet,None reported,Yes,164725,3
Dodge,Durango SRT 392,31917.0,Gasoline,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,64683,4
BMW,M3 Base,56235.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Orange,None reported,Yes,50500,10
Ford,Fiesta ST,28724.0,Gasoline,197.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,18300,7
Lincoln,MKS Base,124400.0,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,9500,11
Chevrolet,Tahoe Premier,137000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,46000,6
Ferrari,F430 Berlinetta,38686.0,Gasoline,483.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,99999,21
Ford,F-250 Platinum,6600.0,Gasoline,430.0HP 7.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,72900,4
Mercedes-Benz,SLK-Class SLK280 Roadster,67200.0,Gasoline,228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,11500,19
Porsche,Macan,16554.0,Gasoline,2.0 Liter,Automatic,White,Beige,None reported,Unknown,51698,5
BMW,X5 PHEV xDrive45e,15736.0,Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Blue,Brown,None reported,Yes,67900,3
Mercedes-Benz,E-Class E500,153460.0,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Gold,At least 1 accident or damage reported,Yes,5800,21
Acura,TL 3.7,70000.0,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,15051,14
Hyundai,Equus Signature,143898.0,Gasoline,378.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Brown,None reported,Yes,9950,15
Mercedes-Benz,SL-Class SL500 Roadster,26190.0,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,22000,23
Toyota,Land Cruiser Base,209193.0,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,15900,26
RAM,2500 Big Horn,27839.0,Gasoline,6.4L V8 16V MPFI OHV,6-Speed Automatic,Granite Crystal Clearcoat Metallic,Diesel Gray / Black,None reported,Yes,41688,8
Chevrolet,Silverado 2500 WT,141195.0,E85 Flex Fuel,6.0L V8 16V MPFI OHV Flexible Fuel,6-Speed Automatic,Summit White,Dark Ash,Unknown,Unknown,28499,8
Porsche,Macan S,20250.0,Gasoline,375.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,68500,4
Jeep,Grand Cherokee L Limited,18333.0,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Velvet Red Pearlcoat,Global Black,None reported,Unknown,41599,4
Mercedes-Benz,E-Class E 350,35000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Beige,None reported,Yes,29998,12
Dodge,Magnum Base,133255.0,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,Yes,4000,20
Porsche,Macan Turbo,14526.0,Gasoline,2.9 Liter Turbo,Automatic,Black,–,None reported,Unknown,79998,5
Mercedes-Benz,E-Class E 550,43690.0,Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,23500,12
Porsche,Macan S,29136.0,Gasoline,3.0 Liter Turbo,Automatic,White,Red,None reported,Unknown,58598,6
Cadillac,XT5 Luxury,72060.0,Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,Stellar Black Metallic,Shara Beige,None reported,Unknown,24590,9
Toyota,Tundra Platinum,8800.0,Gasoline,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,68500,3
Nissan,Versa 1.6 SL,85768.0,Gasoline,109.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Black,At least 1 accident or damage reported,Yes,8250,11
Mercedes-Benz,AMG GT 53 Base,2235.0,Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,110000,4
Buick,Enclave Avenir,121521.0,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Dark Slate Metallic,Ebony / Ebony Accents,None reported,Yes,26772,7
Porsche,911 GT3,23700.0,Gasoline,475.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,144940,11
BMW,328 i,124000.0,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,11900,13
Acura,ILX Premium Package,32260.0,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,20999,8
Lexus,GX 460 Base,92000.0,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,28000,11
Toyota,Land Cruiser Base,269885.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,22500,16
Chevrolet,Corvette Base,51855.0,Gasoline,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Red,None reported,Yes,35900,18
Mazda,Mazda6 i Touring,124000.0,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Beige,At least 1 accident or damage reported,Yes,12900,11
Jaguar,F-TYPE R,26000.0,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Red,None reported,Yes,52500,11
Audi,A3 2.0T Premium,36500.0,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Silver,At least 1 accident or damage reported,Yes,25500,8
Chevrolet,Camaro 2SS,1400.0,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,54900,4
Jeep,Wrangler Unlimited Sport S,17000.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,38500,8
Honda,Civic Sport,42750.0,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,Black,Black,None reported,Yes,25698,5
Porsche,Cayman Base,67998.0,Gasoline,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Beige,None reported,Yes,30000,15
Ford,Mustang GT,64500.0,Gasoline,300.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Red,At least 1 accident or damage reported,Yes,16000,18
Toyota,FJ Cruiser Base,102000.0,Gasoline,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,24900,19
Land,Rover Discovery SE,145000.0,Gasoline,217.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,None reported,Yes,15500,22
Porsche,718 Boxster S,50000.0,Gasoline,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,Yes,55000,8
Chevrolet,Corvette Base,37622.0,Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,25500,22
Toyota,Avalon Limited,89987.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Green,Beige,None reported,Yes,9499,20
INFINITI,QX80 Base,136390.0,Gasoline,5.6L V8 32V GDI DOHC,7-Speed Automatic,Black Obsidian,Black,None reported,Yes,20470,11
Cadillac,DeVille Base,90000.0,–,–,A/T,Green,Beige,At least 1 accident or damage reported,Yes,2990,32
Chevrolet,Camaro 2SS,27000.0,Gasoline,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,33000,11
Jeep,Liberty Renegade,144770.0,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Beige,Beige,At least 1 accident or damage reported,Yes,6500,22
Toyota,4Runner Trail,157000.0,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,23500,15
BMW,328 i xDrive,132000.0,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,Yes,8500,16
